timestamp,node_id,temp_c,ph,do_mgL,events
2026-04-01T13:57:04.226656,node_001,28.728,8.052,7.471,
2026-04-01T13:57:10.780494,node_001,28.728,8.011,7.345,
2026-04-01T13:57:17.439270,node_001,28.728,8.072,7.238,
2026-04-01T13:57:23.989454,node_001,28.728,8.061,7.26,
2026-04-01T13:57:30.702688,node_001,28.728,8.068,7.153,
2026-04-01T13:57:37.207328,node_001,28.728,8.06,7.24,
2026-04-01T13:57:43.754122,node_001,28.728,8.046,7.243,
2026-04-01T13:57:50.417161,node_001,28.728,8.059,7.394,
2026-04-01T13:57:56.966799,node_001,28.728,8.056,7.488,
2026-04-01T13:58:03.523846,node_001,28.728,8.056,7.386,
2026-04-01T13:58:10.172694,node_001,28.728,8.045,7.207,
2026-04-01T13:58:16.727453,node_001,28.728,8.048,7.023,
2026-04-01T13:58:23.281029,node_001,28.728,8.046,6.996,
2026-04-01T13:58:29.944963,node_001,28.728,8.085,6.921,
2026-04-01T13:58:36.490511,node_001,28.728,8.059,6.846,
2026-04-01T13:58:43.147111,node_001,28.728,8.064,6.809,
2026-04-01T13:58:49.701971,node_001,28.728,8.056,6.649,
2026-04-01T13:58:56.256721,node_001,28.728,8.031,6.542,
2026-04-01T13:59:02.911235,node_001,28.728,8.018,6.511,
2026-04-01T13:59:09.466306,node_001,28.728,8.052,6.335,
2026-04-01T13:59:16.019234,node_001,28.728,8.045,6.347,
2026-04-01T13:59:22.677679,node_001,28.728,8.058,6.391,
2026-04-01T13:59:29.230009,node_001,28.728,8.079,6.393,
2026-04-01T13:59:35.788507,node_001,28.728,8.026,6.481,
2026-04-01T13:59:42.437648,node_001,28.728,8.062,6.947,
2026-04-01T13:59:48.993221,node_001,28.796,8.046,7.428,
2026-04-01T13:59:55.649105,node_001,28.728,8.052,7.724,
2026-04-01T14:00:02.201789,node_001,28.728,8.034,8.035,
2026-04-01T14:00:08.755741,node_001,28.728,8.036,8.387,
2026-04-01T14:00:15.411922,node_001,28.728,8.022,8.248,
2026-04-01T14:00:21.965315,node_001,28.728,8.024,7.972,
2026-04-01T14:00:28.519874,node_001,28.728,8.018,7.719,
2026-04-01T14:00:35.175923,node_001,28.728,8.06,7.619,
2026-04-01T14:00:41.729041,node_001,28.728,8.083,7.551,
2026-04-01T14:00:48.283403,node_001,28.728,8.038,7.535,
2026-04-01T14:00:54.939957,node_001,28.728,8.029,7.413,
2026-04-01T14:01:01.495365,node_001,28.728,8.056,7.331,
2026-04-01T14:01:21.259420,node_001,28.66,8.022,7.381,
2026-04-01T14:01:27.919052,node_001,28.728,8.061,7.261,
2026-04-01T14:01:34.467235,node_001,28.728,8.019,7.213,
2026-04-01T14:01:41.025078,node_001,28.728,8.039,7.044,
2026-04-01T14:01:47.679249,node_001,28.728,8.028,7.173,
2026-04-01T14:01:54.255245,node_001,28.728,8.031,7.108,
2026-04-01T14:02:00.789731,node_001,28.728,8.029,7.065,
2026-04-01T14:02:07.460534,node_001,28.66,8.076,6.809,
2026-04-01T14:02:13.998485,node_001,28.728,8.054,6.704,
2026-04-01T14:02:20.568200,node_001,28.728,8.073,6.675,
2026-04-01T14:02:27.216061,node_001,28.728,8.038,6.901,
2026-04-01T14:02:33.763875,node_001,28.728,8.057,7.643,
2026-04-01T14:02:40.465805,node_001,28.728,8.046,7.835,
2026-04-01T14:02:46.968145,node_001,28.728,8.054,7.76,
2026-04-01T14:02:53.526339,node_001,28.728,8.037,7.858,
2026-04-01T14:03:00.180792,node_001,28.728,8.04,7.812,
2026-04-01T14:03:06.733578,node_001,28.728,8.055,7.632,
2026-04-01T14:03:26.498058,node_001,28.728,8.038,7.065,
2026-04-01T14:03:33.123441,node_001,28.728,8.036,6.942,
2026-04-01T14:03:39.707668,node_001,28.728,8.042,6.922,
2026-04-01T14:03:46.262295,node_001,28.728,8.052,6.708,
2026-04-01T14:03:52.817430,node_001,28.728,8.048,6.666,
2026-04-01T14:03:59.473919,node_001,28.728,8.042,6.639,
2026-04-01T14:04:06.024610,node_001,28.728,8.047,6.567,
2026-04-01T14:04:12.681562,node_001,28.728,8.04,6.754,
2026-04-01T14:04:19.238032,node_001,28.728,8.036,7.096,
2026-04-01T14:04:25.794605,node_001,28.728,8.048,7.237,
2026-04-01T14:04:32.444745,node_001,28.728,8.058,7.278,
2026-04-01T14:04:39.000444,node_001,28.728,8.056,7.121,
2026-04-01T14:04:45.561608,node_001,28.728,8.028,6.943,
2026-04-01T14:04:52.209161,node_001,28.728,8.014,6.776,
2026-04-01T14:04:58.764508,node_001,28.728,8.027,6.702,
2026-04-01T14:05:05.419723,node_001,28.728,8.041,7.3,
2026-04-01T14:05:11.978349,node_001,28.728,8.053,7.726,
2026-04-01T14:05:18.528713,node_001,28.728,8.055,7.824,
2026-04-01T14:05:25.184972,node_001,28.728,8.05,7.634,
2026-04-01T14:05:31.745669,node_001,28.66,8.033,7.757,
2026-04-01T14:05:38.293100,node_001,28.728,8.013,7.807,
2026-04-01T14:05:44.947202,node_001,28.728,8.025,8.087,
2026-04-01T14:05:51.500760,node_001,28.66,8.02,8.039,
2026-04-01T14:05:58.091580,node_001,28.728,8.043,7.925,
2026-04-01T14:06:04.709766,node_001,28.728,8.047,7.694,
2026-04-01T14:06:11.294806,node_001,28.728,8.075,7.387,
2026-04-01T14:06:17.828231,node_001,28.728,8.025,7.116,
2026-04-01T14:06:24.403218,node_001,28.728,8.018,6.985,
2026-04-01T14:06:31.026249,node_001,28.66,8.028,6.831,
2026-04-01T14:06:37.580715,node_001,28.66,8.037,6.706,
2026-04-01T14:06:44.239200,node_001,28.66,8.037,6.77,
2026-04-01T14:06:50.801447,node_001,28.728,8.029,6.738,
2026-04-01T14:06:57.447468,node_001,28.66,8.041,6.872,
2026-04-01T14:07:04.002462,node_001,28.66,8.042,6.906,
2026-04-01T14:07:10.557057,node_001,28.66,8.038,6.73,
2026-04-01T14:07:17.211102,node_001,28.66,8.039,6.728,
2026-04-01T14:07:23.768412,node_001,28.728,8.028,6.705,
2026-04-01T14:07:30.320911,node_001,28.66,8.05,6.743,
2026-04-01T14:07:36.977199,node_001,28.66,8.01,6.897,
2026-04-01T14:07:43.528039,node_001,28.728,8.022,6.845,
2026-04-01T14:07:50.184970,node_001,28.66,8.011,6.812,
2026-04-01T14:07:56.743600,node_001,28.66,8.052,6.945,
2026-04-01T14:08:03.291717,node_001,28.66,8.041,6.988,
2026-04-01T14:08:09.949604,node_001,28.728,8.059,6.916,
2026-04-01T14:08:16.503850,node_001,28.728,8.036,6.851,
2026-04-01T14:08:23.058071,node_001,28.728,8.009,6.74,
2026-04-01T14:08:30.472604,node_001,28.66,8.03,6.655,
2026-04-01T14:08:36.271328,node_001,28.728,8.041,6.513,
2026-04-01T14:08:42.822281,node_001,28.728,8.037,6.321,
2026-04-01T14:08:49.481487,node_001,28.728,8.055,6.29,
2026-04-01T14:08:56.028963,node_001,28.66,8.056,6.267,
2026-04-01T14:09:02.717953,node_001,28.66,8.022,6.372,
2026-04-01T14:09:09.241680,node_001,28.66,8.036,6.697,
2026-04-01T14:09:15.794880,node_001,28.66,8.043,7.145,
2026-04-01T14:09:22.448590,node_001,28.66,8.033,7.71,
